price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,many_total_rooms,area_ratio,neighborhood_encoded,city_encoded,amenity_count,top_amenities_score,log_living_area,log_land_area,living_land_ratio,sqm_per_room,bed_bath,bed_living,bath_living,rooms_per_living_area,avg_room_size,living_area_squared,total_rooms_squared,bedrooms_squared,bathrooms_squared,total_amenities,basic_amenities,comfort_amenities,luxury_amenities,house_bedrooms,house_living_area,house_land_area,bed_bath_ratio,bath_per_room,house_with_garden,house_with_pool,log_price
369000.0,Appartement,2,2,3.0,123.0,123.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.0,0,0,0,0.024390243902439025,383538.6938933855,363369.6864175023,5,0,4.820281565605037,4.820281565605037,1.0,41.0,4,246.0,246.0,0.024390243902439025,41.0,15129.0,9.0,4,4,5,1,2,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,12.818554633046093
255000.0,Appartement,3,2,4.0,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0.03333333333333333,383538.6938933855,363369.6864175023,2,0,4.795790545596741,4.795790545596741,1.0,30.0,6,360.0,240.0,0.03333333333333333,30.0,14400.0,16.0,9,4,2,1,1,0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,12.449022745701502
230000.0,Appartement,1,1,2.0,80.0,80.0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0.0,0,0,0,0.025,383538.6938933855,363369.6864175023,7,0,4.394449154672439,4.394449154672439,1.0,40.0,1,80.0,80.0,0.025,40.0,6400.0,4.0,1,1,7,1,4,1,0.0,0.0,0.0,1.0,0.5,0.0,0.0,12.345838935721968
330000.0,Appartement,1,1,2.0,63.0,63.0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0.0,0,0,0,0.031746031746031744,609676.6497134108,421223.1284046693,8,0,4.1588830833596715,4.1588830833596715,1.0,31.5,1,63.0,63.0,0.031746031746031744,31.5,3969.0,4.0,1,1,8,2,3,1,0.0,0.0,0.0,1.0,0.5,0.0,0.0,12.706850963741102
560000.0,Appartement,3,1,4.0,180.0,180.0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,0.022222222222222223,702600.6298076923,458256.9600923483,12,2,5.198497031265826,5.198497031265826,1.0,45.0,3,540.0,180.0,0.022222222222222223,45.0,32400.0,16.0,9,1,12,3,2,3,0.0,0.0,0.0,3.0,0.25,0.0,0.0,13.235693848424024
230000.0,Appartement,3,2,4.0,59.0,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.06779661016949153,424414.6453058023,427863.8369477912,0,0,4.0943445622221,5.638354669333745,0.21071428571428572,14.75,6,177.0,118.0,0.06779661016949153,14.75,3481.0,16.0,9,4,0,0,0,0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,12.345838935721968
230000.0,Appartement,3,2,5.0,81.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.06172839506172839,424414.6453058023,427863.8369477912,0,0,4.406719247264253,5.176149732573829,0.4602272727272727,16.2,6,243.0,162.0,0.06172839506172839,16.2,6561.0,25.0,9,4,0,0,0,0,0.0,0.0,0.0,1.5,0.4,0.0,0.0,12.345838935721968
480000.0,Appartement,3,1,4.0,151.0,151.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.026490066225165563,369705.23749562266,363369.6864175023,2,0,5.0238805208462765,5.0238805208462765,1.0,37.75,3,453.0,151.0,0.026490066225165563,37.75,22801.0,16.0,9,1,2,0,2,0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,13.081543466215237
560000.0,Appartement,2,3,4.0,126.0,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.031746031746031744,377309.35526500206,343962.4295859396,0,0,4.844187086458591,4.844187086458591,1.0,31.5,6,252.0,378.0,0.031746031746031744,31.5,15876.0,16.0,4,9,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.75,0.0,0.0,13.235693848424024
250000.0,Appartement,1,1,2.0,66.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.030303030303030304,383538.6938933855,363369.6864175023,0,0,4.204692619390966,4.204692619390966,1.0,33.0,1,66.0,66.0,0.030303030303030304,33.0,4356.0,4.0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,12.429220196836383
